,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
236,Barker,CCGT,CCGT,PP,AR,250.0,,,0.0,0.0,0.0,2020.0,2020.0,2060.0,-37.5477253,-59.4551354,{nan},{'GGPT': {'L406429'}},700
237,Cerro Dragon,CCGT,CCGT,PP,AR,160.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-45.836993,-67.5713044,{nan},{'GGPT': {'L406431'}},646
238,Electropatagonia,CCGT,CCGT,PP,AR,63.0,,,0.0,0.0,0.0,2001.0,2001.0,2041.0,-45.814841,-67.444983,{nan},{'GGPT': {'L406437'}},769
239,Ezeiza,CCGT,CCGT,PP,AR,300.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-34.903289,-58.616194,"{nan, nan, nan, nan, nan, nan}",{'GGPT': {'L406438'}},308
240,General Rojo,CCGT,CCGT,PP,AR,250.0,,,0.0,0.0,0.0,2020.0,2020.0,2060.0,-33.4552634,-60.283586,{nan},{'GGPT': {'L406441'}},102
241,Gral Belgrano,CCGT,CCGT,PP,AR,868.0,,,0.0,0.0,0.0,2010.0,2010.0,2050.0,-34.1845,-59.006,{nan},{'GGPT': {'L406443'}},160
242,Las Palmas Argentina,CCGT,CCGT,PP,AR,202.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-34.0800967,-59.1271845,"{nan, nan, nan, nan}",{'GGPT': {'L406448'}},375
243,Loma Campana,CCGT,CCGT,PP,AR,212.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-38.359958,-68.714725,"{nan, nan}",{'GGPT': {'L406687'}},934
244,Lujan,CCGT,CCGT,PP,AR,127.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-34.5570344,-59.0370204,"{nan, nan}",{'GGPT': {'L406450'}},350
245,Oscar Smith,CCGT,CCGT,PP,AR,80.0,,,0.0,0.0,0.0,2010.0,2010.0,2050.0,-37.2479,-56.9966,{nan},{'GGPT': {'L406470'}},197
